run,gen_len,OGF,stall,tail_len,TP@512,TP@1024,latency_sec,success_ogf1,success_ogf2,success_ogf4,reward,validity,eos_pen,ppl
586,577,0.140869140625,0,0,0,0,20.72178077697754,0,0,0,-0.7188947877570233,1.0,5.0,19.324090121317155
587,5188,1.2666015625,0,0,0,0,196.26923155784607,1,0,0,-0.34967200746549726,1.0,5.0,1.0
588,10,0.00244140625,0,0,0,0,0.35447072982788086,0,0,0,-0.7960419652299663,1.0,5.0,50.0
589,2127,0.519287109375,0,0,0,0,76.25949311256409,0,0,0,-0.5954035176432921,1.0,5.0,8.439116125999059
590,131,0.031982421875,0,0,0,0,4.713783025741577,0,0,0,-0.7804002514574891,1.0,5.0,41.60305343511451
591,217,0.052978515625,0,0,0,0,7.6826698780059814,0,0,0,-0.7503155457165275,1.0,5.0,24.654377880184335
592,5046,1.23193359375,0,0,0,0,190.91846799850464,1,0,0,-0.35747230043424727,1.0,5.0,1.0
593,5094,1.24365234375,0,0,0,0,192.33705353736877,1,0,0,-0.38355407340856423,1.0,5.0,2.552021986650962
594,4926,1.20263671875,0,0,0,0,185.44764137268066,1,0,0,-0.36406409730924727,1.0,5.0,1.0
595,5609,1.369384765625,0,0,0,0,215.76029253005981,1,0,0,-0.3265457867623723,1.0,5.0,1.0
596,766,0.18701171875,0,0,0,0,27.641996383666992,0,0,0,-0.7122186700541105,1.0,5.0,20.887728459530027
597,16384,4.0,1,0,0,0,925.1544849872589,1,1,1,0.8455748250184141,1.0,0.0,20.9442138671875
598,4762,1.16259765625,0,0,0,0,178.01852107048035,1,0,0,-0.42445025203449854,1.0,5.0,4.588408231835364
599,1412,0.3447265625,0,0,0,0,50.638511180877686,0,0,0,-0.6710986895260089,1.0,5.0,18.555240793201133
600,22,0.00537109375,0,0,0,0,0.8167853355407715,0,0,0,-0.7697522982644918,1.0,5.0,29.545454545454547
601,1114,0.27197265625,0,0,0,0,40.37317228317261,0,0,0,-0.6648730728891606,1.0,5.0,11.445242369838422
602,5115,1.248779296875,0,0,0,0,192.66537141799927,1,0,0,-0.42425758510968503,1.0,5.0,7.204301075268817
603,4152,1.013671875,0,0,0,0,152.17544054985046,1,0,0,-0.46771396570257256,1.0,5.0,5.792389210019269
604,5078,1.23974609375,0,0,0,0,190.8297257423401,1,0,0,-0.35571448793424726,1.0,5.0,1.0
605,5006,1.22216796875,0,0,0,0,187.6429886817932,1,0,0,-0.35966956605924727,1.0,5.0,1.0
606,455,0.111083984375,0,0,0,0,16.2807936668396,0,0,0,-0.7475839121958356,1.0,5.0,30.549450549450547
607,4814,1.17529296875,0,0,0,0,180.90932869911194,1,0,0,-0.3702164410592473,1.0,5.0,1.0
608,4911,1.198974609375,0,0,0,0,185.0658667087555,1,0,0,-0.36488807191862227,1.0,5.0,1.0
609,4816,1.17578125,0,0,0,0,180.68722915649414,1,0,0,-0.38280133152171714,1.0,5.0,1.5780730897009967
610,2306,0.56298828125,0,0,0,0,83.0821270942688,0,0,0,-0.6047699134573964,1.0,5.0,12.857762359063312
611,4581,1.118408203125,0,0,0,0,169.1542627811432,1,0,0,-0.38301551332487227,1.0,5.0,1.0
612,5013,1.223876953125,0,0,0,0,189.7881076335907,1,0,0,-0.35928504457487226,1.0,5.0,1.0
613,4727,1.154052734375,0,0,0,0,176.4829397201538,1,0,0,-0.43947020800137804,1.0,5.0,6.261899724984134
614,4881,1.191650390625,0,0,0,0,183.10631370544434,1,0,0,-0.376358180537932,1.0,5.0,1.4341323499282934
615,4964,1.2119140625,0,0,0,0,188.01006960868835,1,0,0,-0.37192683299831975,1.0,5.0,1.4403706688154714
616,2795,0.682373046875,0,0,0,0,101.12554001808167,0,0,0,-0.5839933251506833,1.0,5.0,14.651162790697676
617,130,0.03173828125,0,0,0,0,4.589420557022095,0,0,0,-0.7771101809586474,1.0,5.0,38.84615384615385
618,755,0.184326171875,0,0,0,0,27.354450702667236,0,0,0,-0.708659703871247,1.0,5.0,19.13907284768212
619,147,0.035888671875,0,0,0,0,5.2343926429748535,0,0,0,-0.755155864626803,1.0,5.0,25.170068027210885
620,4811,1.174560546875,0,0,0,0,179.58005285263062,1,0,0,-0.37038123598112227,1.0,5.0,1.0
621,704,0.171875,0,0,0,0,25.48136019706726,0,0,0,-0.7172055036369156,1.0,5.0,21.59090909090909
622,932,0.2275390625,0,0,0,0,33.95107889175415,0,0,0,-0.702440363598033,1.0,5.0,20.60085836909871
623,4708,1.1494140625,0,0,0,0,175.7212951183319,1,0,0,-0.37603919496549726,1.0,5.0,1.0
624,1370,0.33447265625,0,0,0,0,49.15496468544006,0,0,0,-0.5766658407038329,1.0,5.0,1.8248175182481752
625,900,0.2197265625,0,0,0,0,32.48186278343201,0,0,0,-0.7175670079216159,1.0,5.0,27.22222222222222
626,2345,0.572509765625,0,0,0,0,84.48785305023193,0,0,0,-0.6145475273050975,1.0,5.0,16.588486140724946
627,4905,1.197509765625,0,0,0,0,183.73712134361267,1,0,0,-0.36521766176237225,1.0,5.0,1.0
628,71,0.017333984375,0,0,0,0,2.5854642391204834,0,0,0,-0.754024736093329,1.0,5.0,22.535211267605632
629,95,0.023193359375,0,0,0,0,3.4309089183807373,0,0,0,-0.7817275924706167,1.0,5.0,41.05263157894737
630,4806,1.17333984375,0,0,0,0,180.3174307346344,1,0,0,-0.37065589418424727,1.0,5.0,1.0
631,4897,1.195556640625,0,0,0,0,184.2205846309662,1,0,0,-0.3656571148873723,1.0,5.0,1.0
